NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
 73 JORDAO         1    27      F                  25
 73 JORDAO         1    28      F                  24
 73 JORDAO         1    29      F                  22
 73 JORDAO         1    30      F                  20
 73 JORDAO         1    31      F                  19
 73 JORDAO         1    02      F                  18
 71 STA CLARA PR   1    27      F                  95
 71 STA CLARA PR   1    28      F                  89
 71 STA CLARA PR   1    29      F                  84
 71 STA CLARA PR   1    30      F                  77
 71 STA CLARA PR   1    31      F                  71
 71 STA CLARA PR   1    01      F                  66
 71 STA CLARA PR   1    02      F                  63
 72 FUNDAO         1    27      F                   6
 72 FUNDAO         1    29      F                   5
 57 MAUA           1    27      F                 188
 57 MAUA           1    28      F                 190
 57 MAUA           1    29      F                 187
 57 MAUA           1    30      F                 179
 57 MAUA           1    31      F                 172
 57 MAUA           1    01      F                 166
 57 MAUA           1    02      F                 161
 77 SLT.SANTIAGO   1    27      F                  73
 77 SLT.SANTIAGO   1    28      F                  64
 77 SLT.SANTIAGO   1    29      F                  55
 77 SLT.SANTIAGO   1    30      F                  48
 77 SLT.SANTIAGO   1    31      F                  42
 77 SLT.SANTIAGO   1    01      F                  38
 77 SLT.SANTIAGO   1    02      F                  33
 78 SALTO OSORIO   1    27      F                  29
 78 SALTO OSORIO   1    28      F                  25
 78 SALTO OSORIO   1    29      F                  22
 78 SALTO OSORIO   1    30      F                  19
 78 SALTO OSORIO   1    31      F                  17
 78 SALTO OSORIO   1    01      F                  15
 78 SALTO OSORIO   1    02      F                  13
 93 PASSO FUNDO    1    27      F                  41
 93 PASSO FUNDO    1    28      F                  37
 93 PASSO FUNDO    1    29      F                  35
 93 PASSO FUNDO    1    30      F                  32
 93 PASSO FUNDO    1    31      F                  29
 93 PASSO FUNDO    1    01      F                  26
 93 PASSO FUNDO    1    02      F                  24
 91 MACHADINHO     1    27      F                 116
 91 MACHADINHO     1    28      F                 101
 91 MACHADINHO     1    29      F                 100
 91 MACHADINHO     1    30      F                 105
 91 MACHADINHO     1    31      F                  98
 91 MACHADINHO     1    01      F                  88
 91 MACHADINHO     1    02      F                  82
 92 ITA            1    27      F                 249
 92 ITA            1    28      F                 220
 92 ITA            1    29      F                 205
 92 ITA            1    30      F                 190
 92 ITA            1    31      F                 171
 92 ITA            1    01      F                 154
 92 ITA            1    02      F                 140
252 CANA BRAVA     1    27      F                 219
252 CANA BRAVA     1    28      F                 265
252 CANA BRAVA     1    29      F                 284
252 CANA BRAVA     1    30      F                 271
252 CANA BRAVA     1    31      F                 250
